"";"manufact";"calories";"protein";"fat";"sodium";"fiber";"carbo";"sugars";"potassiu";"rating"
"100%_Bran";"D";70;4;1;130;10;5;6;280;68,402973
"100%_Natural_Bran";"F";120;3;5;15;2;8;8;135;33,983679
"All-Bran";"C";70;4;1;260;9;7;5;320;59,425505
"All-Bran_with_Extra_Fiber";"C";50;4;0;140;14;8;0;330;93,704912
"Apple_Cinnamon_Cheerios";"B";110;2;2;180;1,5;10,5;10;70;29,509541
"Apple_Jacks";"C";110;2;0;125;1;11;14;30;33,174094
"Basic_4";"B";130;3;2;210;2;18;8;100;37,038562
"Bran_Chex";"G";90;2;1;200;4;15;6;125;49,120253
"Bran_Flakes";"E";90;3;0;210;5;13;5;190;53,313813
"Cap'n'Crunch";"F";120;1;2;220;0;12;12;35;18,042851
"Cheerios";"B";110;6;2;290;2;17;1;105;50,764999
"Cinnamon_Toast_Crunch";"B";120;1;3;210;0;13;9;45;19,823573
"Clusters";"B";110;3;2;140;2;13;7;105;40,400208
"Cocoa_Puffs";"B";110;1;1;180;0;12;13;55;22,736446
"Corn_Chex";"G";110;2;0;280;0;22;3;25;41,445019
"Corn_Flakes";"C";100;2;0;290;1;21;2;35;45,863324
"Corn_Pops";"C";110;1;0;90;1;13;12;20;35,782791
"Count_Chocula";"B";110;1;1;180;0;12;13;65;22,396513
"Cracklin'_Oat_Bran";"C";110;3;3;140;4;10;7;160;40,448772
"Crispix";"C";110;2;0;220;1;21;3;30;46,895644
"Crispy_Wheat_&_Raisins";"B";100;2;1;140;2;11;10;120;36,176196
"Double_Chex";"G";100;2;0;190;1;18;5;80;44,330856
"Froot_Loops";"C";110;2;1;125;1;11;13;30;32,207582
"Frosted_Flakes";"C";110;1;0;200;1;14;11;25;31,435973
"Frosted_Mini-Wheats";"C";100;3;0;0;3;14;7;100;58,345141
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats";"E";120;3;2;160;5;12;10;200;40,917047
"Fruitful_Bran";"C";120;3;0;240;5;14;12;190;41,015492
"Fruity_Pebbles";"E";110;1;1;135;0;13;12;25;28,025765
"Golden_Crisp";"E";100;2;0;45;0;11;15;40;35,252444
"Golden_Grahams";"B";110;1;1;280;0;15;9;45;23,804043
"Grape-Nuts";"E";110;3;0;170;3;17;3;90;53,371007
"Grape_Nuts_Flakes";"E";100;3;1;140;3;15;5;85;52,076897
"Great_Grains_Pecan";"E";120;3;3;75;3;13;4;100;45,811716
"Honey-comb";"E";110;1;0;180;0;14;11;35;28,742414
"Honey_Graham_Ohs";"F";120;1;2;220;1;12;11;45;21,871292
"Honey_Nut_Cheerios";"B";110;3;1;250;1,5;11,5;10;90;31,072217
"Just_Right_Crunchy__Nuggets";"C";110;2;1;170;1;17;6;60;36,523683
"Just_Right_Fruit_&_Nut";"C";140;3;1;170;2;20;9;95;36,471512
"Kix";"B";110;2;1;260;0;21;3;40;39,241114
"Life";"F";100;4;2;150;2;12;6;95;45,328074
"Lucky_Charms";"B";110;2;1;180;0;12;12;55;26,734515
"Maypo";"A";100;4;1;0;0;16;3;95;54,850917
"Muesli_Raisins,_Dates,_&_Almonds";"G";150;4;3;95;3;16;11;170;37,136863
"Muesli_Raisins,_Peaches,_&_Pecans";"G";150;4;3;150;3;16;11;170;34,139765
"Mueslix_Crispy_Blend";"C";160;3;2;150;3;17;13;160;30,313351
"Multi-Grain_Cheerios";"B";100;2;1;220;2;15;6;90;40,105965
"Nut&Honey_Crunch";"C";120;2;1;190;0;15;9;40;29,924285
"Nutri-Grain_Almond-Raisin";"C";140;3;2;220;3;21;7;130;40,69232
"Nutri-grain_Wheat";"C";90;3;0;170;3;18;2;90;59,642837
"Oatmeal_Raisin_Crisp";"B";130;3;2;170;1,5;13,5;10;120;30,450843
"Post_Nat._Raisin_Bran";"E";120;3;1;200;6;11;14;260;37,840594
"Product_19";"C";100;3;0;320;1;20;3;45;41,50354
"Puffed_Rice";"F";50;1;0;0;0;13;0;15;60,756112
"Puffed_Wheat";"F";50;2;0;0;1;10;0;50;63,005645
"Quaker_Oat_Squares";"F";100;4;1;135;2;14;6;110;49,511874
"Raisin_Bran";"C";120;3;1;210;5;14;12;240;39,259197
"Raisin_Nut_Bran";"B";100;3;2;140;2,5;10,5;8;140;39,7034
"Raisin_Squares";"C";90;2;0;0;2;15;6;110;55,333142
"Rice_Chex";"G";110;1;0;240;0;23;2;30;41,998933
"Rice_Krispies";"C";110;2;0;290;0;22;3;35;40,560159
"Shredded_Wheat";"D";80;2;0;0;3;16;0;95;68,235885
"Shredded_Wheat_'n'Bran";"D";90;3;0;0;4;19;0;140;74,472949
"Shredded_Wheat_spoon_size";"D";90;3;0;0;3;20;0;120;72,801787
"Smacks";"C";110;2;1;70;1;9;15;40;31,230054
"Special_K";"C";110;6;0;230;1;16;3;55;53,131324
"Strawberry_Fruit_Wheats";"D";90;2;0;15;3;15;5;90;59,363993
"Total_Corn_Flakes";"B";110;2;1;200;0;21;3;35;38,839746
"Total_Raisin_Bran";"B";140;3;1;190;4;15;14;230;28,592785
"Total_Whole_Grain";"B";100;3;1;200;3;16;3;110;46,658844
"Triples";"B";110;2;1;250;0;21;3;60;39,106174
"Trix";"B";110;1;1;140;0;13;12;25;27,753301
"Wheat_Chex";"G";100;3;1;230;3;17;3;115;49,787445
"Wheaties";"B";100;3;1;200;3;17;3;110;51,592193
"Wheaties_Honey_Gold";"B";110;2;1;200;1;16;8;60;36,187559
